Andorra la Vella	_	Andorra	_	Andorra la Vella	_	3041563
Umm al Qaywayn	_	United Arab Emirates	_	Umm al Qaywayn	_	290594
Ras al Khaimah	_	United Arab Emirates	_	Raʼs al Khaymah	_	291074
Khawr Fakkan	_	United Arab Emirates	_	Ash Shariqah	_	291696
Dubai	_	United Arab Emirates	_	Dubai	_	292223
Dibba Al Fujairah	_	United Arab Emirates	_	Al Fujayrah	_	292231
Dibba Al Hisn	_	United Arab Emirates	_	Al Fujayrah	_	292239
Sharjah	_	United Arab Emirates	_	Ash Shariqah	_	292672
Ar Ruways	_	United Arab Emirates	_	Abu Dhabi	_	292688
Al Fujayrah	_	United Arab Emirates	_	Al Fujayrah	_	292878
Al Ain	_	United Arab Emirates	_	Abu Dhabi	_	292913
Ajman	_	United Arab Emirates	_	Ajman	_	292932
Adh Dhayd	_	United Arab Emirates	_	Ash Shariqah	_	292953
Abu Dhabi	_	United Arab Emirates	_	Abu Dhabi	_	292968
Zaranj	_	Afghanistan	_	Nimruz	_	1120985
Taloqan	_	Afghanistan	_	Takhar	_	1123004
Shinḏanḏ	_	Afghanistan	_	Herat	_	1125155
Shibirghan	_	Afghanistan	_	Jowzjan	_	1125444
Shahrak	_	Afghanistan	_	Ghowr	_	1125896
Sar e Pul	_	Afghanistan	_	Sar e Pol	_	1127110
Sang e Charak	_	Afghanistan	_	Sar e Pol	_	1127628
Aibak	_	Afghanistan	_	Samangan	_	1127768
Rustaq	_	Afghanistan	_	Takhar	_	1128265
Qarqin	_	Afghanistan	_	Jowzjan	_	1129516
Qarawul	_	Afghanistan	_	Kunduz	_	1129648
Pul e Khumri	_	Afghanistan	_	Wilayat e Baghlan	_	1130490
Paghman	_	Afghanistan	_	Kabul	_	1131316
Nahrin	_	Afghanistan	_	Wilayat e Baghlan	_	1132495
Maymana	_	Afghanistan	_	Faryab	_	1133453
Mehtar Lam	_	Afghanistan	_	Laghman	_	1133574
Mazar e Sharif	_	Afghanistan	_	Balkh	_	1133616
Lashkar Gah	_	Afghanistan	_	Helmand	_	1134720
